nsitharaman,926
PTTVOnlineNews,716
ShashiTharoor,674
CMOKerala,424
PonnaarrBJP,383
OfficeOfOPS,381
pibchennai,357
DefenceMinIndia,349
PIBTvpm,348
narendramodi,290
IndiaCoastGuard,225
Kuvalayamala,204
ShankhNaad,197
OfficeOfRG,148
AfrozShah1,132
vinavu,130
RatanSharda55,100
News18TamilNadu,96
MCGMswm,80
indiannavy,79
alphonstourism,72
preetikatweets,64
ANI,63
amazon,60
Neetu_Chandra,58
saran,53
Ahmedshabbir20,53
hornnotokpls,50
TrendsMumbai,49
thatsTamil,48
JayasreeVijayan,46
healthwomeninfo,45
TheAshokSingh,45
twitfac33,43
news7tamil,40
UNEP,40
TOIMumbai,39
VersovaBeach,38
ThanthiTV,37
USAmbIndia,37
TiCGameNetwork,36
KaushalDas17,36
YouTube,35
FameEnt2k,35
swatidTOI,32
SitaramYechury,32
Dev_Fadnavis,32
SonyTushar,31
CMOTamilNadu,31
SwachhBharatGov,30
BJP4Keralam,30
MumbaiPolice,28
cpmkanagaraj,26
LifeatMumbai,26
icecym_t,26
hashmumbai,26
NewIndianXpress,25
PMOIndia,25
Akhil1490,25
rajnathsingh,24
nitin_gadkari,24
girishalva,23
Kummanam,23
LFC,23
timesofindia,23
by2kaafi,22
shishir_heg,22
ShashankR89,22
AB_BJP,22
prettypadmaja,22
apnlivehindi,22
thulasirch,22
jrpur,22
GauravS75934455,22
Rudra_Aksh09,22
Natuljain2B,22
bld4needy,22
BJP4India,21
upsidedakshin,21
aaccheDin,21
